"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000155158",1123.56873364037,-0.816147046364209,0.25492079801263,-3.20157104766231,0.00136680364502517,0.0253640092143898,"TTC39B",158219
"ENSG00000141349",3159.30600396133,0.538163291065507,0.168132102483819,3.20083602783294,0.00137029487564808,0.0254120008081712,"G6PC3",92579
"ENSG00000263606",7.74179171497054,-1.82385582344609,0.569953620417127,-3.20000743588799,0.00137424042062787,0.0254683487062499,"RP11-737O24.3",NA
"ENSG00000270804",159.871378894631,-0.894664402819414,0.279700772854684,-3.19864830435856,0.00138073495619525,0.0255718307157612,"CTD-2583A14.11",NA
"ENSG00000170348",12957.6954008435,0.516471723307591,0.161519810178365,3.19757510077096,0.00138588318801943,0.0256502585827432,"TMED10",10972
"ENSG00000162711",132.88882187658,-1.56307169871327,0.488936469570136,-3.19688097737421,0.00138922236717637,0.0256797554139533,"NLRP3",114548
"ENSG00000101109",2647.71545376258,-0.848603545303147,0.265448782284984,-3.19686358324331,0.00138930613932383,0.0256797554139533,"STK4",6789
"ENSG00000182179",6839.75241949504,-0.619039009893257,0.193698002771004,-3.19589774307122,0.00139396505484787,0.0257489189769498,"UBA7",100847079
"ENSG00000119616",1938.00187921523,0.360172588964032,0.112711978016164,3.19551298188007,0.00139582503381827,0.0257663244408386,"FCF1",51077
"ENSG00000110876",719.759842288345,-1.74490632081952,0.546260155482512,-3.19427712841008,0.00140181478040877,0.0258598906632964,"SELPLG",6404
"ENSG00000243536",10.7102730309995,-2.03889172172939,0.638532580566545,-3.19308956783437,0.00140759278888857,0.0259494305539229,NA,NA
"ENSG00000254750",19.4925810740276,-3.41482816478249,1.06966358451111,-3.19243191432308,0.00141080200418782,0.0259915274747909,"CASP1P2",NA
"ENSG00000130545",594.893278027483,0.692755358107655,0.217052830207086,3.19164397647665,0.00141465586315054,0.0260454378161821,"CRB3",92359
"ENSG00000164512",109.127809010154,-2.97003103290046,0.930838372472818,-3.19070541216562,0.00141925911233508,0.0260788861891572,"ANKRD55",79722
"ENSG00000139644",36075.8803928115,0.51958602062666,0.162843008837915,3.19071739299429,0.00141920026467566,0.0260788861891572,"TMBIM6",7009
"ENSG00000126353",530.942851551737,-1.68420456840951,0.527841909378654,-3.19073673098838,0.00141910528469868,0.0260788861891572,"CCR7",1236
"ENSG00000137312",9523.34581813086,0.461385206056983,0.14461350766626,3.1904710251671,0.00142041083140188,0.0260829790145654,"FLOT1",10211
"ENSG00000261060",4.56102294473346,2.06001574288773,0.646129090175904,3.18824175263012,0.00143140806833689,0.0261821787196709,"RP11-545A16.4",NA
"ENSG00000056558",3439.37315201547,-0.857474605527763,0.268869921176261,-3.18918011273428,0.00142676950793776,0.0261821787196709,"TRAF1",7185
"ENSG00000075826",3003.65596699046,-0.614833991948526,0.1928210055692,-3.18862558637509,0.00142950899970121,0.0261821787196709,"SEC31B",25956
"ENSG00000137699",175.155010093394,-2.34205954078889,0.734490255609356,-3.18868701511342,0.00142920528851567,0.0261821787196709,"TRIM29",23650
"ENSG00000139187",136.171638791805,-1.34175795862093,0.420797099548615,-3.18861028286606,0.00142958467137578,0.0261821787196709,"KLRG1",10219
"ENSG00000174943",1269.44977262428,-0.497756256651255,0.156114104304788,-3.1884131089108,0.00143055997310063,0.0261821787196709,"KCTD13",253980
"ENSG00000196187",5376.05755983089,-0.605526553274439,0.189974833130078,-3.18740405398766,0.00143556077323428,0.0262362908568564,"TMEM63A",9725
"ENSG00000227542",18.5646336682339,-1.16827833675067,0.366545350423488,-3.18726819314691,0.00143623531883707,0.0262362908568564,"AC092614.2",NA
"ENSG00000225756",370.477906523885,-1.37219931334807,0.430586251159758,-3.18681636873479,0.00143848071756068,0.0262602230864442,"DBH-AS1",138948
"ENSG00000249978",7.01304706127868,-2.19595294252719,0.689213637362372,-3.1861716360273,0.001441690401966,0.0263017163196877,"TRGV7",NA
"ENSG00000226419",58.6628178398544,-1.16061783700585,0.364425711808473,-3.18478581340009,0.0014486118238528,0.0264108273885163,"SLC16A1-AS1",100506392
"ENSG00000100711",3138.10505495365,0.52642523059518,0.165304362937143,3.1845815878154,0.00144963440372138,0.0264123200215997,"ZFYVE21",79038
"ENSG00000111206",231.082507731808,-0.902183284141112,0.283357809406802,-3.18390125202406,0.00145304572129032,0.0264573052637277,"FOXM1",2305
"ENSG00000216863",8.58748831654439,-3.23171301606416,1.01545684015848,-3.18252129313522,0.0014599878006978,0.0265664792483423,"LY86-AS1",285780
"ENSG00000129003",5415.86898017001,-0.558840125350175,0.175646061075901,-3.18162628827007,0.00146450657733346,0.0266314450594505,"VPS13C",54832
"ENSG00000273108",20.3080781081999,-1.14431844569334,0.359762500087829,-3.18076076693366,0.00146888875080821,0.0266938443083767,"RP11-416N2.4",NA
"ENSG00000235419",4.92536382803254,-1.93924291540408,0.609973645970664,-3.17922409962174,0.00147669875010091,0.0268184157869232,"AC010149.4",NA
"ENSG00000234389",31.2908898363204,-2.12722505268295,0.669194957243641,-3.17878225120646,0.00147895148502121,0.0268419656399099,"AC007278.3",NA
"ENSG00000005882",1539.99003035476,0.65502775249508,0.206103178399675,3.17815454172595,0.00148215726547453,0.0268827710224344,"PDK2",5164
"ENSG00000250486",265.737064822865,0.816805083466739,0.257055761091738,3.17754046825365,0.00148529959996045,0.0269050044310256,"FAM218A",152756
"ENSG00000100583",161.395681137922,0.75244010060712,0.236796094477256,3.17758661631723,0.00148506323811003,0.0269050044310256,"SAMD15",161394
